 PARTY6     , COL4HDG, PARTY4     , PVTALLY3, PARTY1     , RNAME9          , PRCTSEQ,COUNTY    , PVTALLY7, COL5HDG, RNAME10              , PVTALLY1, RNAME6      , COL3HDG, PVTALLY2, RNAME8        , PARTY9     , BALSEQID, PARTY5     , PVTALLY8, ELECTDATE , PVTALLY9,source_file, CANDGROUP, PARTY3     , RNAME4                          , PARTY8     , PVTALLY4, COL7HDG, OFFICENAME                                       , PARTY2     , RNAME7          , RNAME5                     , PVTALLY10, RNAME3                       , PARTY7     , COL9HDG, JURISID, COL6HDG, COL2HDG, PVTALLY5, RNAME1                     , COL1HDG, RNAME2                        , COL8HDG, PRECINCT                   , PVTALLY6, PARTY10    , COL10HDG
            ,       4, Independent,        2, Republican ,                 ,    0008,Dyer      ,         ,        ,                      ,      702,             ,       3,      103,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,        6,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , D2- Bogota                 ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0008,Dyer      ,         ,        ,                      ,      719,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , D2- Bogota                 ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Kanye West      ,    0009,Dyer      ,        0,       5, Write-In - R19 Boddie,      644, Jo Jorgensen,       3,      126, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        0,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, E1- Finley                 ,        6,            ,       10
            ,      14,            ,        0,            ,                 ,    0009,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , E1- Finley                 ,         ,            ,         
 Independent,       4, Independent,        3, Republican , Elizabeth McLeod,    0009,Dyer      ,        3,       5, Kacey Morgan         ,      614, G. Dean Hill,       3,      107, Aaron James   , Independent,     0007, Independent,        3, 2020-11-03,        1,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        2,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         3," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        1, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, E1- Finley                 ,        0, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0009,Dyer      ,         ,        ,                      ,        3,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , E1- Finley                 ,         ,            ,         
            ,       4, Independent,        7, Republican ,                 ,    0009,Dyer      ,         ,        ,                      ,      606,             ,       3,      103,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,        7,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , E1- Finley                 ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0009,Dyer      ,         ,        ,                      ,      615,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , E1- Finley                 ,         ,            ,         
 Independent,       4, Independent,        1, Republican , Kanye West      ,    0010,Dyer      ,        0,       5, Write-In - R19 Boddie,      794, Jo Jorgensen,       3,       91, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        0,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, E2- Lenox                  ,        5,            ,       10
            ,      14,            ,        0,            ,                 ,    0010,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , E2- Lenox                  ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Elizabeth McLeod,    0010,Dyer      ,        2,       5, Kacey Morgan         ,      752, G. Dean Hill,       3,       78, Aaron James   , Independent,     0007, Independent,        0, 2020-11-03,        7,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        2,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         3," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        4, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, E2- Lenox                  ,        2, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0010,Dyer      ,         ,        ,                      ,        1,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , E2- Lenox                  ,         ,            ,         
            ,       4, Independent,        5, Republican ,                 ,    0010,Dyer      ,         ,        ,                      ,      740,             ,       3,       75,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,        6,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , E2- Lenox                  ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0010,Dyer      ,         ,        ,                      ,      777,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , E2- Lenox                  ,         ,            ,         
 Independent,       4, Independent,        2, Republican , Kanye West      ,    0011,Dyer      ,        0,       5, Write-In - R19 Boddie,      129, Jo Jorgensen,       3,      565, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        2,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, F- Dyer Co Central         ,        5,            ,       10
            ,      14,            ,        0,            ,                 ,    0011,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , F- Dyer Co Central         ,         ,            ,         
 Independent,       4, Independent,        4, Republican , Elizabeth McLeod,    0011,Dyer      ,        4,       5, Kacey Morgan         ,      133, G. Dean Hill,       3,      485, Aaron James   , Independent,     0007, Independent,        3, 2020-11-03,        6,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        2,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         4," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        7, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, F- Dyer Co Central         ,        3, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0011,Dyer      ,         ,        ,                      ,        2,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , F- Dyer Co Central         ,         ,            ,         
            ,       4, Independent,        8, Republican ,                 ,    0011,Dyer      ,         ,        ,                      ,      134,             ,       3,      493,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,       18,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , F- Dyer Co Central         ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0011,Dyer      ,         ,        ,                      ,      220,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , F- Dyer Co Central         ,         ,            ,         
 Independent,       4, Independent,        1, Republican , Kanye West      ,    0012,Dyer      ,        0,       5, Write-In - R19 Boddie,      747, Jo Jorgensen,       3,      353, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        1,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        1,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        2, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, G- Courthouse              ,        6,            ,       10
            ,      14,            ,        1,            ,                 ,    0012,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , G- Courthouse              ,         ,            ,         
 Independent,       4, Independent,        2, Republican , Elizabeth McLeod,    0012,Dyer      ,        6,       5, Kacey Morgan         ,      714, G. Dean Hill,       3,      314, Aaron James   , Independent,     0007, Independent,        2, 2020-11-03,        5,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        1,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         4," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        9, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, G- Courthouse              ,        1, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0012,Dyer      ,         ,        ,                      ,        3,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , G- Courthouse              ,         ,            ,         
            ,       4, Independent,       11, Republican ,                 ,    0012,Dyer      ,         ,        ,                      ,      707,             ,       3,      319,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,       11,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , G- Courthouse              ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0012,Dyer      ,         ,        ,                      ,      802,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , G- Courthouse              ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Kanye West      ,    0013,Dyer      ,        2,       5, Write-In - R19 Boddie,      896, Jo Jorgensen,       3,      314, Gloria La Riva, Independent,     0003, Independent,        1, 2020-11-03,        2,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        1, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, H- E. Dyersburg            ,        6,            ,       10
            ,      14,            ,        0,            ,                 ,    0013,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , H- E. Dyersburg            ,         ,            ,         
 Independent,       4, Independent,        2, Republican , Elizabeth McLeod,    0013,Dyer      ,        3,       5, Kacey Morgan         ,      851, G. Dean Hill,       3,      273, Aaron James   , Independent,     0007, Independent,        2, 2020-11-03,        5,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        3,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         6," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        7, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, H- E. Dyersburg            ,        2, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0013,Dyer      ,         ,        ,                      ,        4,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , H- E. Dyersburg            ,         ,            ,         
            ,       4, Independent,       16, Republican ,                 ,    0013,Dyer      ,         ,        ,                      ,      845,             ,       3,      275,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,       10,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , H- E. Dyersburg            ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0013,Dyer      ,         ,        ,                      ,      920,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , H- E. Dyersburg            ,         ,            ,         
 Independent,       4, Independent,        4, Republican , Kanye West      ,    0014,Dyer      ,        0,       5, Write-In - R19 Boddie,      547, Jo Jorgensen,       3,      221, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        1,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        2,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, I1- Community Center       ,        6,            ,       10
            ,      14,            ,        0,            ,                 ,    0014,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , I1- Community Center       ,         ,            ,         
 Independent,       4, Independent,        1, Republican , Elizabeth McLeod,    0014,Dyer      ,        2,       5, Kacey Morgan         ,      526, G. Dean Hill,       3,      185, Aaron James   , Independent,     0007, Independent,        1, 2020-11-03,        6,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        5,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         3," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        3, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, I1- Community Center       ,        5, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0014,Dyer      ,         ,        ,                      ,        3,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , I1- Community Center       ,         ,            ,         
            ,       4, Independent,        7, Republican ,                 ,    0014,Dyer      ,         ,        ,                      ,      518,             ,       3,      190,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,        9,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , I1- Community Center       ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0014,Dyer      ,         ,        ,                      ,      580,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , I1- Community Center       ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Kanye West      ,    0015,Dyer      ,        0,       5, Write-In - R19 Boddie,      623, Jo Jorgensen,       3,       85, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        0,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, I2- Hurricane Hill         ,        2,            ,       10
            ,      14,            ,        0,            ,                 ,    0015,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , I2- Hurricane Hill         ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Elizabeth McLeod,    0015,Dyer      ,        2,       5, Kacey Morgan         ,      598, G. Dean Hill,       3,       71, Aaron James   , Independent,     0007, Independent,        1, 2020-11-03,        1,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        0,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         0," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        1, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, I2- Hurricane Hill         ,        0, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0015,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , I2- Hurricane Hill         ,         ,            ,         
            ,       4, Independent,        6, Republican ,                 ,    0015,Dyer      ,         ,        ,                      ,      593,             ,       3,       69,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,        1,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , I2- Hurricane Hill         ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0015,Dyer      ,         ,        ,                      ,      598,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , I2- Hurricane Hill         ,         ,            ,         
 Independent,       4, Independent,        2, Republican , Kanye West      ,    0016,Dyer      ,        0,       5, Write-In - R19 Boddie,     1487, Jo Jorgensen,       3,      454, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        2,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, J- North Dyersburg         ,       18,            ,       10
            ,      14,            ,        0,            ,                 ,    0016,Dyer      ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , J- North Dyersburg         ,         ,            ,         
 Independent,       4, Independent,        5, Republican , Elizabeth McLeod,    0016,Dyer      ,        4,       5, Kacey Morgan         ,     1440, G. Dean Hill,       3,      388, Aaron James   , Independent,     0007, Independent,        4, 2020-11-03,       12,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        4,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         4," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        5, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, J- North Dyersburg         ,        1, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0016,Dyer      ,         ,        ,                      ,        4,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , J- North Dyersburg         ,         ,            ,         
            ,       4, Independent,       11, Republican ,                 ,    0016,Dyer      ,         ,        ,                      ,     1468,             ,       3,      365,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,       20,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , J- North Dyersburg         ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0016,Dyer      ,         ,        ,                      ,     1544,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 77   ,            ,                 ,                            ,          ,                              ,            ,        ,      77,        ,        ,         , Rusty Grills               ,       1,                               ,        , J- North Dyersburg         ,         ,            ,         
 Independent,       4, Independent,        1, Republican , Kanye West      ,    0001,Fayette   ,        0,       5, Write-In - R19 Boddie,     1088, Jo Jorgensen,       3,      711, Gloria La Riva, Independent,     0003, Independent,        3, 2020-11-03,        2,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        1,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Somerville                 ,        9,            ,       10
            ,      14,            ,        0,            ,                 ,    0001,Fayette   ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Somerville                 ,         ,            ,         
 Independent,       4, Independent,       11, Republican , Elizabeth McLeod,    0001,Fayette   ,        9,       5, Kacey Morgan         ,     1064, G. Dean Hill,       3,      563, Aaron James   , Independent,     0007, Independent,        5, 2020-11-03,       13,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,       11,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         1," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,       11, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Somerville                 ,        4, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0001,Fayette   ,         ,        ,                      ,        8,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Somerville                 ,         ,            ,         
            ,       4, Independent,       18, Republican ,                 ,    0001,Fayette   ,         ,        ,                      ,     1085,             ,       3,      532,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,       22,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , Somerville                 ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0001,Fayette   ,         ,        ,                      ,     1100,             ,        ,      529,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 26                     , Democratic ,                 ,                            ,          ,                              ,            ,        ,      26,        ,       2,         , Page Walley                ,       1, Civil Miller-Watkins          ,        , Somerville                 ,         ,            ,         
