COUNTY, PRECINCT, Precinct Sequence   , Office Seq, OfficeID, District, Candidate Group                            , OFFICENAME     , ELECTDATE, ELECTTYPE    , Col1, BName1                                  , Tally1, Col2, BName2                                               , Tally2, Col3, BName3                                   , Tally3, Col4, BName4                           , Tally4, Col5, BName5                  , Tally5, Col6, BName6                         , Tally6, Col7, BName7                  , Tally7, Col8, BName8                                  , Tally8, Col9, BName9                  , Tally9, Col10, BName10                    , Tally10
  0006,        3, Claxton             , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,   1086,    2, . John Wolfe - D                                     ,    343,    3, . Don Barkman - I                        ,      7,    4, . Mark DeVol - I                 ,    140,    5, . Gregory C. Goodwin - I,     14,    6, . Robert Humphries - I         ,      6,    7, . Mo Kiah - I           ,      1,    8, . Savas T. Kyriakidis - I               ,     39,     ,                         ,      0,      ,                            ,       0
  0006,        4, Claxton             , TS        ,        5,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Randy McNally - R                     ,   1421,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0006,        5, Claxton             , TH        ,       33,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . John D Ragan - R                      ,   1029,    2, . Jim Hackworth - D                                  ,    657,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0007,        1, Clinton Middle      , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    271,    2, . Mike McWherter - D                                 ,     84,    3, . Bayron Binkley - I                     ,      0,    4, . Brandon Dodds - I              ,      2,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
  0007,        1, Clinton Middle      , GOV       ,         ,       11, Governor                                   , " ""November 2", " 2010""", State General,   11, . Donald Ray McFolin - I                ,      0,   12, . Linda Kay Perry - I                                ,      0,   13, . James Reesor - I                       ,      1,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I ,      0,   16, . Carl Twofeathers Whitaker - I,      5,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux             ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
  0007,        2, Clinton Middle      , CA        ,         ,        1, Constitutional Amendment                   , " ""November 2", " 2010""", State General,    1, . Yes                                   ,    298,    2, . No                                                 ,     28,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0007,        3, Clinton Middle      , UH        ,        3,        1, U. S. House of Representatives District    , " ""November 2", " 2010""", State General,    1, . Chuck Fleischmann - R                 ,    236,    2, . John Wolfe - D                                     ,     78,    3, . Don Barkman - I                        ,      1,    4, . Mark DeVol - I                 ,     24,    5, . Gregory C. Goodwin - I,      1,    6, . Robert Humphries - I         ,      2,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I               ,      5,     ,                         ,      0,      ,                            ,       0
  0007,        4, Clinton Middle      , TS        ,        5,        1, Tennessee Senate District                  , " ""November 2", " 2010""", State General,    1, . Randy McNally - R                     ,    283,     ,                                                      ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0007,        5, Clinton Middle      , TH        ,       33,        1, Tennessee House of Representatives District, " ""November 2", " 2010""", State General,    1, . John D Ragan - R                      ,    209,    2, . Jim Hackworth - D                                  ,    147,     ,                                          ,      0,     ,                                  ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                         ,      0,     ,                         ,      0,      ,                            ,       0
  0008,        1, Clinch Valley       , GOV       ,         ,        1, Governor                                   , " ""November 2", " 2010""", State General,    1, . Bill Haslam - R                       ,    619,    2, . Mike McWherter - D                                 ,    166,    3, . Bayron Binkley - I                     ,      7,    4, . Brandon Dodds - I              ,      9,    5, . Samuel David Duck - I ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      2,    8, . Toni K. Hall - I                      ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       1
