COUNTY, PRECINCT, Precinct Seq        , Office Seq, OfficeID, District, Candidate Group                            , OFFICENAME     , ELECTDATE, ELECTTYPE       , Col1, BName1                                    , Tally1, Col2, BName2                                     , Tally2, Col3, BName3                        , Tally3, Col4, BName4                         , Tally4, Col5, BName5                                       , Tally5, Col6, BName6                           , Tally6, Col7, BName7                       , Tally7, Col8, BName8                            , Tally8, Col9, BName9                      , Tally9, Col10, BName10                      , Tally10
  0006,        1, Claxton             , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,   1201,    2, . Barack Obama - (D)                       ,    414,    3, . Virgil Goode - (C)          ,      5,    4, . Jill Stein - (G)             ,      9,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      3,    6, . Gary Johnson - (I)             ,     15,    7, . Merlin Miller - (I)        ,      2,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0006,        2, Claxton             , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,   1185,    2, . Mark E. Clayton - (D)                    ,    301,    3, . Kermit Steck - (C)          ,     12,    4, . Martin Pleasant - (G)        ,     23,    5, . Shaun E. Crowell - (I)                     ,     17,    6, . David Gatchell - (I)           ,      3,    7, . James Higdon - (I)         ,      7,    8, . Michel Joseph Long - (I)        ,     10,    9, . Troy Stephen Scoggin - (I),      6,    10, . Write-In - Fred R. Anderson,       0
  0006,        2, Claxton             , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0006,        2, Claxton             , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0006,        3, Claxton             , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,   1087,    2, . Mary M. Headrick - (D)                   ,    403,    3, . Matthew Deniston - (I)      ,     47,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0006,        5, Claxton             , TNH       ,       33,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . John D. Ragan - (R)                     ,    909,    2, . Jim Hackworth - (D)                      ,    685,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0007,        1, Clinton Middle      , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    404,    2, . Barack Obama - (D)                       ,    131,    3, . Virgil Goode - (C)          ,      4,    4, . Jill Stein - (G)             ,      1,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      0,    6, . Gary Johnson - (I)             ,      4,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0007,        2, Clinton Middle      , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    383,    2, . Mark E. Clayton - (D)                    ,     97,    3, . Kermit Steck - (C)          ,      3,    4, . Martin Pleasant - (G)        ,     13,    5, . Shaun E. Crowell - (I)                     ,      5,    6, . David Gatchell - (I)           ,      2,    7, . James Higdon - (I)         ,      1,    8, . Michel Joseph Long - (I)        ,      2,    9, . Troy Stephen Scoggin - (I),      0,    10, . Write-In - Fred R. Anderson,       0
  0007,        2, Clinton Middle      , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0007,        2, Clinton Middle      , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
